cell,seed,aggregation,group,n,ce_ctw_original,ce_root_original,ce_ctw_shuffled,ce_root_shuffled,g_original,g_shuffled,q
C0,13,equal_block,PROSE_ALL,56099.0,4.235736925769141,4.70448628931437,4.566855221366967,4.566855221366967,0.46874936354523034,0.0,0.46874936354523034
C0,13,equal_block,contrast,,0.37795468140826305,0.16811757904509417,0.24079261884991698,0.24079261884991698,-0.20983710236316944,0.0,-0.20983710236316944
C0,13,eligible_token_weighted,HEX,53009.0,4.567963747461427,4.830237740844361,4.7456628039481945,4.7456628039481945,0.26227399338293433,0.0,0.26227399338293433
C0,13,eligible_token_weighted,PROSE_ALL,56099.0,4.229803059052729,4.692556031955995,4.558360119078175,4.558360119078175,0.46275297290326506,0.0,0.46275297290326506
C0,13,eligible_token_weighted,contrast,,0.3381606884086974,0.1376817088883664,0.18730268487001922,0.18730268487001922,-0.20047897952033072,0.0,-0.20047897952033072
C0,14,equal_block,HEX,53009.0,4.611730920108226,4.868296996687338,4.80643311519752,4.80643311519752,0.25656607657911223,0.0,0.25656607657911223
C0,14,equal_block,PROSE_ALL,56099.0,4.236390856717611,4.70363827807733,4.572098894266064,4.572098894266064,0.46724742135971803,1.7763568394002506e-16,0.46724742135971786
C0,14,equal_block,contrast,,0.375340063390615,0.16465871861000814,0.23433422093145584,0.23433422093145584,-0.2106813447806058,-1.7763568394002506e-16,-0.21068134478060563
C0,14,eligible_token_weighted,HEX,53009.0,4.569166887414695,4.830281616616114,4.746406059736982,4.746406059736982,0.2611147292014193,0.0,0.2611147292014193
C0,14,eligible_token_weighted,PROSE_ALL,56099.0,4.229018528711199,4.691362656458376,4.5625544874527,4.5625544874527,0.4623441277471776,2.6425758040633148e-16,0.4623441277471773
C0,14,eligible_token_weighted,contrast,,0.34014835870349547,0.13891896015773764,0.18385157228428195,0.18385157228428195,-0.20122939854575828,-2.6425758040633148e-16,-0.201229398545758
C0,15,equal_block,HEX,53009.0,4.61736848558726,4.873428310737518,4.800317735425778,4.800317735425778,0.2560598251502575,0.0,0.2560598251502575
C0,15,equal_block,PROSE_ALL,56099.0,4.236014686188803,4.704233260323875,4.569763111662971,4.569763111662971,0.468218574135072,0.0,0.468218574135072
C0,15,equal_block,contrast,,0.3813537993984575,0.16919505041364324,0.23055462376280644,0.23055462376280644,-0.21215874898481452,0.0,-0.21215874898481452
C0,15,eligible_token_weighted,HEX,53009.0,4.573487325814431,4.830631476959924,4.737341872349666,4.737341872349666,0.25714415114549427,0.0,0.25714415114549427
C0,15,eligible_token_weighted,PROSE_ALL,56099.0,4.229719549404051,4.692164591257577,4.5577994751009205,4.5577994751009205,0.46244504185352586,0.0,0.46244504185352586
C0,15,eligible_token_weighted,contrast,,0.34376777641037926,0.13846688570234722,0.17954239724874554,0.17954239724874554,-0.2053008907080316,0.0,-0.2053008907080316
C0,16,equal_block,HEX,53009.0,4.608888153673298,4.868854906450797,4.8001948498650755,4.8001948498650755,0.2599667527774989,0.0,0.2599667527774989
C0,16,equal_block,PROSE_ALL,56099.0,4.235426660147864,4.7043243869829245,4.570866947665881,4.570866947665881,0.46889772683506104,1.7763568394002506e-16,0.46889772683506087
C0,16,equal_block,contrast,,0.37346149352543456,0.16453051946787234,0.22932790219919408,0.22932790219919408,-0.2089309740575621,-1.7763568394002506e-16,-0.20893097405756195
C0,16,eligible_token_weighted,HEX,53009.0,4.56662871138887,4.828476284678765,4.740453156343162,4.740453156343162,0.26184757328989566,0.0,0.26184757328989566
C0,16,eligible_token_weighted,PROSE_ALL,56099.0,4.229047274732534,4.692249473657203,4.559654119744301,4.559654119744301,0.4632021989246701,2.0496546857230648e-16,0.4632021989246699
C0,16,eligible_token_weighted,contrast,,0.3375814366563361,0.13622681102156253,0.1807990365988612,0.1807990365988612,-0.20135462563477446,-2.0496546857230648e-16,-0.20135462563477424
C0,17,equal_block,HEX,53009.0,4.613381378897465,4.869780599979884,4.8025178316343355,4.8025178316343355,0.2563992210824195,0.0,0.2563992210824195
C0,17,equal_block,PROSE_ALL,56099.0,4.236310519324013,4.704583929306897,4.575851908176505,4.575851908176505,0.4682734099828825,0.0,0.4682734099828825
C0,17,equal_block,contrast,,0.3770708595734522,0.16519667067298727,0.22666592345783076,0.22666592345783076,-0.211874188900463,0.0,-0.211874188900463
C0,17,eligible_token_weighted,HEX,53009.0,4.567488963922979,4.829306174600762,4.744575266452316,4.744575266452316,0.2618172106777836,0.0,0.2618172106777836
C0,17,eligible_token_weighted,PROSE_ALL,56099.0,4.230146692945998,4.692353569294264,4.564322833366446,4.564322833366446,0.46220687634826574,0.0,0.46220687634826574
C0,17,eligible_token_weighted,contrast,,0.3373422709769809,0.13695260530649822,0.18025243308587058,0.18025243308587058,-0.20038966567048216,0.0,-0.20038966567048216
C0,18,equal_block,HEX,53009.0,4.611681948479992,4.8714027935501605,4.7916461312563365,4.7916461312563365,0.2597208450701678,0.0,0.2597208450701678
C0,18,equal_block,PROSE_ALL,56099.0,4.23493821118304,4.704854405475535,4.571528007984538,4.571528007984538,0.4699161942924956,1.7763568394002506e-16,0.4699161942924954
C0,18,equal_block,contrast,,0.37674373729695265,0.16654838807462546,0.22011812327179836,0.22011812327179836,-0.2101953492223278,-1.7763568394002506e-16,-0.21019534922232763
C0,18,eligible_token_weighted,HEX,53009.0,4.56994315549661,4.831493073103132,4.738932778868605,4.738932778868605,0.26154991760652224,0.0,0.26154991760652224
C0,18,eligible_token_weighted,PROSE_ALL,56099.0,4.229058103601562,4.692796088767385,4.561009497717748,4.561009497717748,0.46373798516582265,1.9527607673187303e-16,0.46373798516582254
C0,18,eligible_token_weighted,contrast,,0.3408850518950475,0.13869698433574662,0.1779232811508571,0.1779232811508571,-0.2021880675593004,-1.9527607673187303e-16,-0.2021880675593003
C0,19,equal_block,HEX,53009.0,4.618017894811145,4.8725095811661046,4.8004351257608375,4.800435125760838,0.25449168635495933,4.440892098500626e-16,0.2544916863549589
C0,19,equal_block,PROSE_ALL,56099.0,4.235075718794241,4.7047877919186,4.570019594022296,4.570019594022296,0.4697120731243576,1.7763568394002506e-16,0.4697120731243574
C0,19,equal_block,contrast,,0.38294217601690406,0.16772178924750492,0.2304155317385419,0.2304155317385428,-0.21522038676939825,2.6645352591003756e-16,-0.21522038676939853
C0,19,eligible_token_weighted,HEX,53009.0,4.568824334759018,4.83012608982259,4.736075472816223,4.736075472816224,0.2613017550635724,7.813637764209028e-16,0.26130175506357156
C0,19,eligible_token_weighted,PROSE_ALL,56099.0,4.228835162354395,4.693003088935216,4.5609020304472185,4.5609020304472185,0.46416792658082023,1.9527607673187303e-16,0.46416792658082007
C0,19,eligible_token_weighted,contrast,,0.3399891724046231,0.1371230008873745,0.17517344236900456,0.17517344236900545,-0.20286617151724784,5.860876996890298e-16,-0.2028661715172485
D12,0,equal_block,HEX,53009.0,4.613495024723953,4.868982783630755,4.806491295568398,4.806491295568398,0.25548775890680187,0.0,0.25548775890680187
D12,0,equal_block,PROSE_ALL,56099.0,4.239180053983845,4.7045709937736975,4.575600211832399,4.575600211832399,0.46539093978985335,0.0,0.46539093978985335
D12,0,equal_block,contrast,,0.3743149707401079,0.1644117898570574,0.23089108373599831,0.23089108373599831,-0.2099031808830515,0.0,-0.2099031808830515
D12,0,eligible_token_weighted,HEX,53009.0,4.568566491627263,4.828738088594765,4.743570737020802,4.743570737020802,0.26017159696750247,0.0,0.26017159696750247
D12,0,eligible_token_weighted,PROSE_ALL,56099.0,4.232477770975531,4.692467749398104,4.56527747544337,4.56527747544337,0.45998997842257233,0.0,0.45998997842257233
D12,0,eligible_token_weighted,contrast,,0.33608872065173223,0.13627033919666065,0.17829326157743175,0.17829326157743175,-0.19981838145506986,0.0,-0.19981838145506986
D12,1,equal_block,HEX,53009.0,4.610026089747138,4.867786101193385,4.788207594521357,4.788207594521357,0.2577600114462473,0.0,0.2577600114462473
D12,1,equal_block,PROSE_ALL,56099.0,4.23798935294253,4.705093787056278,4.575664804296981,4.575664804296981,0.467104434113747,0.0,0.467104434113747
D12,1,equal_block,contrast,,0.372036736804608,0.16269231413710727,0.2125427902243766,0.2125427902243766,-0.20934442266749975,0.0,-0.20934442266749975
D12,1,eligible_token_weighted,HEX,53009.0,4.567513843715225,4.82956194669186,4.737972572955347,4.737972572955347,0.2620481029766351,0.0,0.2620481029766351
