cell,variant,held_block,held_block_key,seed,doc_id,arm,past_band,implicit_unseen_branch_encounter_count,n,resolved_null_count_by_reason_no_resolved_mass,resolved_valid_count,root_unseen_target_count,sum_observed_mass_by_length_0,sum_observed_mass_by_length_1,sum_observed_mass_by_length_2,sum_observed_mass_by_length_3,sum_observed_mass_by_length_4,sum_observed_mass_by_length_5,sum_observed_mass_by_length_6,sum_observed_mass_by_length_7,sum_observed_mass_by_length_8,sum_resolved_valid,sum_unseen_mass,resolved_mean,unseen_mass_mean,reason,sum_observed_mass_by_length_10,sum_observed_mass_by_length_11,sum_observed_mass_by_length_12,sum_observed_mass_by_length_9
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,5,tlg0003.tlg001.perseus-grc1.1.tb.xml,shuffled,4_7,1966,1989,0,1989,0,1989.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,5,tlg0003.tlg001.perseus-grc1.1.tb.xml,shuffled,ge8,5238,5238,0,5238,2,5238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,6,tlg0003.tlg001.perseus-grc1.1.tb.xml,original,4_7,1593,1989,0,1989,0,0.0,1681.4298296673837,305.5277989618276,0.49771045838865063,0.12788922892306573,2.8904045534089743e-09,4.158925111542829e-18,9.399475168141604e-123,0.0,2297.3345204300344,1.4167716805864763,1.1550198694972522,0.0007123035095960163,,,,,
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,6,tlg0003.tlg001.perseus-grc1.1.tb.xml,original,ge8,5230,5238,2,5236,3,0.0,4512.457375968086,713.5938165272267,1.1087279833351666,0.16310707513100567,0.005387007537035059,1.2563227468782414e-07,1.322521678351532e-15,9.116724651547064e-161,5954.95068995502,10.67158531305189,1.137309146286291,0.0020373396932134194,,,,,
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,6,tlg0003.tlg001.perseus-grc1.1.tb.xml,shuffled,4_7,1956,1989,0,1989,2,1989.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,6,tlg0003.tlg001.perseus-grc1.1.tb.xml,shuffled,ge8,5238,5238,0,5238,0,5238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,7,tlg0003.tlg001.perseus-grc1.1.tb.xml,original,4_7,1568,1989,0,1989,0,0.0,1681.995993516547,305.56859339620684,0.7169619656190087,0.12998802543710694,9.01776728470069e-05,9.198112321895679e-05,4.995965028350563e-22,0.0,2297.0805444697467,0.5882809373939115,1.1548921792205866,0.000295767188232233,,,,,
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,7,tlg0003.tlg001.perseus-grc1.1.tb.xml,original,ge8,5227,5238,2,5236,3,0.0,4515.314922635009,711.9597173996498,0.7712250331896824,0.15181742555084388,0.005731552580865934,0.0002091371954670438,9.34745494924069e-20,9.04802939059481e-164,5953.43168561799,9.796376816824592,1.1370190385061096,0.001870251396873729,,,,,
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,7,tlg0003.tlg001.perseus-grc1.1.tb.xml,shuffled,4_7,1963,1989,0,1989,1,1989.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,7,tlg0003.tlg001.perseus-grc1.1.tb.xml,shuffled,ge8,5238,5238,0,5238,1,5238.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,8,tlg0003.tlg001.perseus-grc1.1.tb.xml,original,4_7,1570,1989,0,1989,0,0.0,1681.9781199990966,304.35291191504444,0.5813255640278743,0.00979098058036552,2.8581116658015877e-09,7.615494360567762e-19,1.7639477058906952e-121,0.0,2296.8473695238135,2.0778515383924927,1.154774946970243,0.0010446714622385585,,,,,
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,8,tlg0003.tlg001.perseus-grc1.1.tb.xml,original,ge8,5228,5238,2,5236,3,0.0,4514.174055579061,711.9699530803176,0.8467334946576895,0.0448709053111014,0.0023009811755043746,0.00012606221405774343,5.18521456145098e-15,6.375412333079041e-166,5952.794263343822,10.961959897263133,1.1368973001038623,0.002092775849038399,,,,,
C0,ud23,THUCYDIDES,1a32cf6857284fff7c7f006f8d0cd4ab15a047af7a4bcd5613d1fd50789dd4ee,8,tlg0003.tlg001.perseus-grc1.1.tb.xml,shuffled,4_7,1966,1989,0,1989,2,1989.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,
