cell,level,unit,aggregation,past_band,metric,mean,sd,min,max,S,reason
oth,document,tlg0020.tlg002.perseus-grc1.tb.xml,not_applicable,4_7,ce_ctw_original,4.657998093565799,0.007358585085359734,4.648190763501851,4.667552044854392,10,
oth,document,tlg0020.tlg002.perseus-grc1.tb.xml,not_applicable,4_7,ce_ctw_shuffled,4.828177922642037,0.04345114755013461,4.790794023288301,4.9227694522347605,10,
oth,document,tlg0020.tlg002.perseus-grc1.tb.xml,not_applicable,4_7,ce_root_original,4.885661654772006,0.0025620422938975192,4.880242736974858,4.888554958907704,10,
oth,document,tlg0020.tlg002.perseus-grc1.tb.xml,not_applicable,4_7,ce_root_shuffled,4.828177922642037,0.04345114755013439,4.790794023288301,4.92276945223476,10,
oth,document,tlg0020.tlg002.perseus-grc1.tb.xml,not_applicable,4_7,g_original,0.22766356120620762,0.007027192416812169,0.21653448802534747,0.2392923630471131,10,
oth,document,tlg0020.tlg002.perseus-grc1.tb.xml,not_applicable,4_7,g_shuffled,-8.881784197001253e-17,2.808666774861361e-16,-8.881784197001252e-16,0.0,10,
oth,document,tlg0020.tlg002.perseus-grc1.tb.xml,not_applicable,4_7,q,0.22766356120620773,0.00702719241681215,0.21653448802534747,0.2392923630471131,10,
oth,document,tlg0020.tlg002.perseus-grc1.tb.xml,not_applicable,all,ce_ctw_original,4.669301146286017,0.005322666382276165,4.661288792696135,4.675482678198524,10,
oth,document,tlg0020.tlg002.perseus-grc1.tb.xml,not_applicable,all,ce_ctw_shuffled,4.809961380237003,0.013277630189956372,4.792527178579364,4.837991581467475,10,
oth,document,tlg0020.tlg002.perseus-grc1.tb.xml,not_applicable,all,ce_root_original,4.890923894993535,0.0021259845267067316,4.887277353179137,4.89392656848129,10,
oth,document,tlg0020.tlg002.perseus-grc1.tb.xml,not_applicable,all,ce_root_shuffled,4.809961380237003,0.01327763018995635,4.792527178579364,4.837991581467475,10,
oth,document,tlg0020.tlg002.perseus-grc1.tb.xml,not_applicable,all,g_original,0.22162274870751775,0.004191908175633342,0.216465496198067,0.22736131096530698,10,
oth,document,tlg0020.tlg002.perseus-grc1.tb.xml,not_applicable,all,g_shuffled,-8.881784197001253e-17,2.808666774861361e-16,-8.881784197001252e-16,0.0,10,
oth,document,tlg0020.tlg002.perseus-grc1.tb.xml,not_applicable,all,q,0.22162274870751783,0.00419190817563343,0.216465496198067,0.22736131096530698,10,
oth,document,tlg0020.tlg002.perseus-grc1.tb.xml,not_applicable,ge8,ce_ctw_original,4.677709860820139,0.0056312373110527884,4.667711639002652,4.6844245467328225,10,
oth,document,tlg0020.tlg002.perseus-grc1.tb.xml,not_applicable,ge8,ce_ctw_shuffled,4.7964094922051395,0.029412757147446955,4.731566055974639,4.830572169827813,10,
oth,document,tlg0020.tlg002.perseus-grc1.tb.xml,not_applicable,ge8,ce_root_original,4.894838649434488,0.002268382774873182,4.891932836195656,4.898015833569079,10,
oth,document,tlg0020.tlg002.perseus-grc1.tb.xml,not_applicable,ge8,ce_root_shuffled,4.796409492205139,0.029412757147446855,4.731566055974639,4.830572169827813,10,
oth,document,tlg0020.tlg002.perseus-grc1.tb.xml,not_applicable,ge8,g_original,0.2171287886143496,0.005252202675929754,0.20982497118075294,0.22479899769581912,10,
oth,document,tlg0020.tlg002.perseus-grc1.tb.xml,not_applicable,ge8,g_shuffled,-1.7763568394002506e-16,3.7448890331484815e-16,-8.881784197001252e-16,0.0,10,
oth,document,tlg0020.tlg002.perseus-grc1.tb.xml,not_applicable,ge8,q,0.21712878861434975,0.0052522026759296925,0.20982497118075294,0.22479899769581912,10,
oth,document,tlg0020.tlg003.perseus-grc1.tb.xml,not_applicable,4_7,ce_ctw_original,4.483193907915071,0.009484730438992804,4.466116666729654,4.494179930918916,10,
oth,document,tlg0020.tlg003.perseus-grc1.tb.xml,not_applicable,4_7,ce_ctw_shuffled,4.861438196693932,0.058234309154363,4.768857521606922,4.9565585426102015,10,
oth,document,tlg0020.tlg003.perseus-grc1.tb.xml,not_applicable,4_7,ce_root_original,4.794603453912585,0.003185197113665768,4.791190902341548,4.800953325484987,10,
oth,document,tlg0020.tlg003.perseus-grc1.tb.xml,not_applicable,4_7,ce_root_shuffled,4.861438196693932,0.058234309154363,4.768857521606922,4.9565585426102015,10,
oth,document,tlg0020.tlg003.perseus-grc1.tb.xml,not_applicable,4_7,g_original,0.3114095459975134,0.010396557820181581,0.297980133309399,0.32934041124601254,10,
oth,document,tlg0020.tlg003.perseus-grc1.tb.xml,not_applicable,4_7,g_shuffled,0.0,0.0,0.0,0.0,10,
oth,document,tlg0020.tlg003.perseus-grc1.tb.xml,not_applicable,4_7,q,0.3114095459975134,0.010396557820181581,0.297980133309399,0.32934041124601254,10,
oth,document,tlg0020.tlg003.perseus-grc1.tb.xml,not_applicable,all,ce_ctw_original,4.6271877295229755,0.00659898399628358,4.619771928471379,4.637088450447878,10,
