cell,variant,held_block,held_block_key,seed,past_band,n,sum_loss_ctw_original,sum_loss_root_original,sum_loss_ctw_shuffled,sum_loss_root_shuffled,changed_symbol_eligible_slot_count,eligible_slot_count,ce_ctw_original,ce_root_original,g_original,ce_ctw_shuffled,ce_root_shuffled,g_shuffled,q,reason
a_total1,ud23,HERODOTUS,89f0804afded8e7a0f4e1b507030d5ef4ecaf17e422c8b2969bd6b23e62818e6,2,all,12946,57285.60920448281,61985.610208589795,60098.33306184298,60098.33306184298,11596,12946,4.424965951219127,4.788012529629985,0.3630465784108585,4.6422318138299845,4.6422318138299845,0.0,0.3630465784108585,
a_total1,ud23,HERODOTUS,89f0804afded8e7a0f4e1b507030d5ef4ecaf17e422c8b2969bd6b23e62818e6,3,all,12946,57270.63692241283,61983.19390979766,60011.34580825857,60011.345808258586,11620,12946,4.423809433215884,4.787825885199881,0.36401645198399724,4.635512575950762,4.635512575950764,1.7763568394002505e-15,0.36401645198399546,
a_total1,ud23,HERODOTUS,89f0804afded8e7a0f4e1b507030d5ef4ecaf17e422c8b2969bd6b23e62818e6,4,all,12946,57235.827394932334,61956.79710072461,60078.763801443536,60078.76380144355,11609,12946,4.421120608290772,4.785786891759973,0.3646662834692016,4.640720207125254,4.640720207125255,8.881784197001252e-16,0.3646662834692007,
a_total1,ud23,HERODOTUS,89f0804afded8e7a0f4e1b507030d5ef4ecaf17e422c8b2969bd6b23e62818e6,5,all,12946,57169.42219763948,61961.76399682974,60107.68060554803,60107.68060554803,11579,12946,4.415991209457707,4.78617055436658,0.3701793449088724,4.642953854900975,4.642953854900975,0.0,0.3701793449088724,
a_total1,ud23,HERODOTUS,89f0804afded8e7a0f4e1b507030d5ef4ecaf17e422c8b2969bd6b23e62818e6,6,all,12946,57337.94587127415,62004.681105901705,60094.276958898874,60094.276958898874,11658,12946,4.42900864137758,4.7894856408081035,0.36047699943052347,4.641918504472337,4.641918504472337,0.0,0.36047699943052347,
a_total1,ud23,HERODOTUS,89f0804afded8e7a0f4e1b507030d5ef4ecaf17e422c8b2969bd6b23e62818e6,7,all,12946,57355.335897937286,61979.93175599685,60209.32283323249,60209.32283323249,11554,12946,4.43035191549029,4.787573903599324,0.3572219881090346,4.650805100666807,4.650805100666807,0.0,0.3572219881090346,
a_total1,ud23,HERODOTUS,89f0804afded8e7a0f4e1b507030d5ef4ecaf17e422c8b2969bd6b23e62818e6,8,all,12946,57223.89453146336,61962.78037706422,60177.7784192789,60177.7784192789,11617,12946,4.42019886694449,4.7862490635767205,0.36605019663223093,4.648368485963147,4.648368485963147,0.0,0.36605019663223093,
a_total1,ud23,HERODOTUS,89f0804afded8e7a0f4e1b507030d5ef4ecaf17e422c8b2969bd6b23e62818e6,9,all,12946,57323.210977037306,61986.230880216615,60139.90136536503,60139.90136536503,11575,12946,4.4278704601450105,4.788060472749622,0.3601900126046118,4.645442713221461,4.645442713221461,0.0,0.3601900126046118,
a_total1,ud23,HESIODIC_TRADITION,c4c0c7eaeca0d61d2e53f4f0642bfa382e91dd28b470d2f4da2ba8539fe0e7f7,0,all,6375,30077.848523277244,31385.786395864554,31176.798811428354,31176.798811428358,5592,6375,4.718093886004273,4.923260611116008,0.20516672511173528,4.8904782449299375,4.890478244929938,8.881784197001252e-16,0.2051667251117344,
a_total1,ud23,HESIODIC_TRADITION,c4c0c7eaeca0d61d2e53f4f0642bfa382e91dd28b470d2f4da2ba8539fe0e7f7,1,all,6375,29880.355781522703,31362.46075401883,30954.23312497078,30954.23312497078,5559,6375,4.687114632395718,4.919601686904914,0.23248705450919616,4.855565980387573,4.855565980387573,0.0,0.23248705450919616,
