cell,reference,level,unit,aggregation,past_band,seed,metric,value,reference_value,difference
D12,C0,block,HESIODIC_TRADITION,not_applicable,4_7,7,ce_ctw_original,4.555170905717465,4.555170905717465,0.0
D12,C0,block,HESIODIC_TRADITION,not_applicable,ge8,7,ce_ctw_original,4.731839537357037,4.731839537357037,0.0
D12,C0,block,HESIODIC_TRADITION,not_applicable,4_7,8,ce_ctw_original,4.557153390043547,4.557153390043547,0.0
D12,C0,block,HESIODIC_TRADITION,not_applicable,ge8,8,ce_ctw_original,4.730250250027993,4.730250250027993,0.0
D12,C0,block,HESIODIC_TRADITION,not_applicable,4_7,9,ce_ctw_original,4.547420730130053,4.547420730130053,0.0
D12,C0,block,HESIODIC_TRADITION,not_applicable,ge8,9,ce_ctw_original,4.712673417305008,4.712673417305008,0.0
D12,C0,block,HOMERIC_TRADITION,not_applicable,4_7,0,ce_ctw_original,4.476186050853288,4.476186050853288,0.0
D12,C0,block,HOMERIC_TRADITION,not_applicable,ge8,0,ce_ctw_original,4.614272734237644,4.614272734237644,0.0
D12,C0,block,HOMERIC_TRADITION,not_applicable,4_7,1,ce_ctw_original,4.477774336751228,4.477774336751228,0.0
D12,C0,block,HOMERIC_TRADITION,not_applicable,ge8,1,ce_ctw_original,4.612546835922883,4.612546835922883,0.0
D12,C0,block,HOMERIC_TRADITION,not_applicable,4_7,2,ce_ctw_original,4.47226466064156,4.47226466064156,0.0
D12,C0,block,HOMERIC_TRADITION,not_applicable,ge8,2,ce_ctw_original,4.610745804549388,4.610745804549388,0.0
D12,C0,block,HOMERIC_TRADITION,not_applicable,4_7,3,ce_ctw_original,4.475603978471748,4.475603978471748,0.0
D12,C0,block,HOMERIC_TRADITION,not_applicable,ge8,3,ce_ctw_original,4.612262083797486,4.612262083797486,0.0
D12,C0,block,HOMERIC_TRADITION,not_applicable,4_7,4,ce_ctw_original,4.473796252256499,4.473796252256499,0.0
D12,C0,block,HOMERIC_TRADITION,not_applicable,ge8,4,ce_ctw_original,4.615522508880669,4.615522508880669,0.0
D12,C0,block,HOMERIC_TRADITION,not_applicable,4_7,5,ce_ctw_original,4.479150875197444,4.479150875197444,0.0
D12,C0,block,HOMERIC_TRADITION,not_applicable,ge8,5,ce_ctw_original,4.616183905046676,4.616183905046676,0.0
