cell,variant,held_block,held_block_key,seed,doc_id,past_band,n,sum_loss_ctw_original,sum_loss_root_original,sum_loss_ctw_shuffled,sum_loss_root_shuffled,changed_symbol_eligible_slot_count,eligible_slot_count,ce_ctw_original,ce_root_original,g_original,ce_ctw_shuffled,ce_root_shuffled,g_shuffled,q,reason
upos,upos_only,HERODOTUS,89f0804afded8e7a0f4e1b507030d5ef4ecaf17e422c8b2969bd6b23e62818e6,0,tlg0016.tlg001.perseus-grc1.1.tb.xml,ge8,8969,25211.957849809147,27465.495445637844,27422.114007095854,27422.114007095854,7369,8969,2.8110110212742945,3.062269533463914,0.2512585121896196,3.0574327134681516,3.0574327134681516,0.0,0.2512585121896196,
upos,upos_only,HERODOTUS,89f0804afded8e7a0f4e1b507030d5ef4ecaf17e422c8b2969bd6b23e62818e6,1,tlg0016.tlg001.perseus-grc1.1.tb.xml,4_7,3977,11126.57128218153,12029.287642874913,12058.205846787107,12058.205846787107,3211,3977,2.79772976670393,3.0247140163125255,0.22698424960859542,3.0319853776180805,3.0319853776180805,0.0,0.22698424960859542,
upos,upos_only,HERODOTUS,89f0804afded8e7a0f4e1b507030d5ef4ecaf17e422c8b2969bd6b23e62818e6,1,tlg0016.tlg001.perseus-grc1.1.tb.xml,ge8,8969,25230.53946129221,27460.330703046904,27384.707174335796,27384.707174335796,7353,8969,2.813082780833115,3.061693689714227,0.24861090888111192,3.0532620330400038,3.0532620330400038,0.0,0.24861090888111192,
upos,upos_only,HERODOTUS,89f0804afded8e7a0f4e1b507030d5ef4ecaf17e422c8b2969bd6b23e62818e6,2,tlg0016.tlg001.perseus-grc1.1.tb.xml,4_7,3977,11121.132065232798,12027.16422842011,12081.179666341226,12081.179666341226,3166,3977,2.796362098373849,3.0241800926376943,0.2278179942638454,3.0377620483633963,3.0377620483633963,0.0,0.2278179942638454,
upos,upos_only,HERODOTUS,89f0804afded8e7a0f4e1b507030d5ef4ecaf17e422c8b2969bd6b23e62818e6,2,tlg0016.tlg001.perseus-grc1.1.tb.xml,ge8,8969,25171.269819346227,27450.931655233315,27438.52736120391,27438.52736120391,7346,8969,2.8064745032162146,3.0606457414687607,0.25417123825254606,3.059262722845792,3.059262722845792,0.0,0.25417123825254606,
upos,upos_only,HERODOTUS,89f0804afded8e7a0f4e1b507030d5ef4ecaf17e422c8b2969bd6b23e62818e6,3,tlg0016.tlg001.perseus-grc1.1.tb.xml,4_7,3977,11098.327516850695,12031.28280952987,12083.300119494377,12083.300119494377,3193,3977,2.790627990156071,3.025215692615004,0.23458770245893268,3.0382952274313246,3.0382952274313246,0.0,0.23458770245893268,
upos,upos_only,HERODOTUS,89f0804afded8e7a0f4e1b507030d5ef4ecaf17e422c8b2969bd6b23e62818e6,3,tlg0016.tlg001.perseus-grc1.1.tb.xml,ge8,8969,25184.030075051898,27463.66548735802,27325.691092415178,27325.691092415178,7343,8969,2.8078972098396586,3.0620655019910825,0.2541682921514239,3.0466820261361556,3.0466820261361556,0.0,0.2541682921514239,
upos,upos_only,HERODOTUS,89f0804afded8e7a0f4e1b507030d5ef4ecaf17e422c8b2969bd6b23e62818e6,4,tlg0016.tlg001.perseus-grc1.1.tb.xml,4_7,3977,11092.563449927069,12023.890121359707,12110.869531636212,12110.869531636212,3195,3977,2.789178639659811,3.0233568321246436,0.2341781924648325,3.0452274406930377,3.0452274406930377,0.0,0.2341781924648325,
upos,upos_only,HERODOTUS,89f0804afded8e7a0f4e1b507030d5ef4ecaf17e422c8b2969bd6b23e62818e6,4,tlg0016.tlg001.perseus-grc1.1.tb.xml,ge8,8969,25181.37635414365,27449.785460557447,27262.889988932006,27262.889988932006,7353,8969,2.807601332829039,3.0605179463214904,0.2529166134924514,3.0396800076855843,3.0396800076855843,0.0,0.2529166134924514,
upos,upos_only,HERODOTUS,89f0804afded8e7a0f4e1b507030d5ef4ecaf17e422c8b2969bd6b23e62818e6,5,tlg0016.tlg001.perseus-grc1.1.tb.xml,4_7,3977,11119.594530551325,12022.09101922802,12081.646478546592,12081.646478546592,3169,3977,2.7959754917151938,3.022904455425703,0.2269289637105092,3.037879426338092,3.037879426338092,0.0,0.2269289637105092,
